SN,SMT ID,IMIS ID,"New LAC 
 [ After De-limitation ]","Block
 [ After Delimitation ]",GP,Type,Scheme Type,Name of Scheme,SO NAME,Contractor Name,FHTC Target as per TS / DPR,FHTC Achieved,Sub-Division,"Work Status 
[ as per JJM Brain as on 10-08-2026 ]","Operational Status as per JJM Brain 
[ as on 10-08-2026 ]",PWSS Operational Status as per FIELD,"Work will be resolve / done by
[ For Partially or Non Operative PWSS ]","Estimate Prepared or Not
[ For Partially or Non Operative PWSS ]","Whether AA Accorded
[ For Partially or Non Operative PWSS ]","Work Allotted or Not
[ For Partially or Non Operative PWSS ]",Estimate Amount [ in Rs. ],If Work Allotted - Name of the Contractor,Work Status for making the PWSS functional [ Not Started / Ongoing / Halted / Completed ],Remarks,Specific Reason from JJM Brain / Issue,Tariff Collection,Issue will Resolve by / Action Taken,"Physical progress (in %) as per IMIS
 [ 30-06-2026 ]",Estimate provided under SOPD,"Estimate Amount to SOPD
 [ in Rs ]"
927,4669,6540101,SADIYA,SAIKHOWA,TALAP,RETROFITTING,NON TEA GARDEN,ERA GAON KHARI GAON PWSS,KRISHNA KAMAL,Provat Acharjya,163,163,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,92889,juganta gogoi,Completed,,,Tariff Collection: NO,,100,,
928,5228,8222011,SADIYA,SAIKHOWA,MEGELA,RETROFITTING,NON TEA GARDEN,BORPATHAR NO 1 PWSS,KRISHNA KAMAL,TARUN PAUL,259,259,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: YES,,100,,
929,5404,8227217,SADIYA,SAIKHOWA,MEGELA,RETROFITTING,NON TEA GARDEN,CHENGALI SOLOGURI PWSS,KRISHNA KAMAL,"M/s BHARGAV ENTERPRISE,PROP. RUPAM BORBORAH",199,199,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
930,5064,8227981,SADIYA,SAIKHOWA,TALAP,RETROFITTING,NON TEA GARDEN,KOKORATOLI GAON PWSS (Saikihowa),KRISHNA KAMAL,M/S MAYUR ASSOCIATES,307,313,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,97566,LAMBIT DEKA,Ongoing,,Transformer Damage,Tariff Collection: YES,,100,,
931,5407,8239010,SADIYA,SAIKHOWA,DANGARI,RETROFITTING,NON TEA GARDEN,LAO KHAGARI PWSS,AYANJYOTI,Monuj Neog,61,87,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
932,5410,8227492,SADIYA,SAIKHOWA,MEGELA,RETROFITTING,NON TEA GARDEN,MEGELA PWSS,KRISHNA KAMAL,M/S MAYUR ASSOCIATES,66,66,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
933,5852,8229312,SADIYA,SAIKHOWA,MEGELA,RETROFITTING,NON TEA GARDEN,NAPATHER BORPATHER PWSS,KRISHNA KAMAL,M/S ROHIT CONSTRUCTIONS,111,111,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
934,5843,8230190,SADIYA,SAIKHOWA,KHOBANG,RETROFITTING,NON TEA GARDEN,SAMUGURI PWSS,AYANJYOTI,Gulgulia Trade Pvt. Ltd.,372,389,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,OTHERS - PL SPECIFY IN REMARKS,,,,1200,,,Jalmitra,,Tariff Collection: NO,,100,,
935,5085,8228143,SADIYA,SAIKHOWA,TALAP,RETROFITTING,NON TEA GARDEN,TALAP BALIBAZAR PWSS,KRISHNA KAMAL,RAKSHA SHOPPE,329,388,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
936,2293,8176300,SADIYA,SAIKHOWA,MAITHONG,RETROFITTING,NON TEA GARDEN,KACHARI MAITHONG PWSS,PARISHMITA,PANKAJ DAS,56,56,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
938,2016,8177010,SADIYA,SAIKHOWA,MAITHONG,RETROFITTING,NON TEA GARDEN,SARU DIRAK NO.1 AND 2 PWSS,PARISHMITA,NIRMAL MORAN,74,74,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,,,,,,,,,,Tariff Collection: NO,CONTRACTOR - Work Ongoing,100,,
939,2018,8176652,SADIYA,SAIKHOWA,KAKAPATHAR,RETROFITTING,NON TEA GARDEN,TEZI GAON PWSS,ANUPAM,PANKAJ DAS,145,145,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,,,,,,,,Tariff Collection: YES,,100,,
945,5105,8230546,SADIYA,SAIKHOWA,KAKAPATHAR,RETROFITTING,NON TEA GARDEN,BORALI GAON NO 2 PWSS,ANUPAM,SRI DHIRU KAMAL NEOG,98,98,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,,100,,
946,5246,8236857,SADIYA,SAIKHOWA,KAKAPATHAR,RETROFITTING,NON TEA GARDEN,Kakopather PWSS,ANUPAM,M/S MAYUR ASSOCIATES,400,378,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,,,,,,,,Tariff Collection: YES,,100,,
949,5594,8230677,SADIYA,SAIKHOWA,KAKAPATHAR,RETROFITTING,NON TEA GARDEN,UPORUBON PWSS,ANUPAM,KUMUD CHANDRA DOHUTIA,36,36,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,,,,,,"Solar scheme, new single phase connection will be given, along with single phase pump, motor, ",,Tariff Collection: NO,,100,,
950,9026,8236876,SADIYA,SAIKHOWA,MAITHONG,RETROFITTING,NON TEA GARDEN,CHENGELIJAN PWSS,PARISHMITA,MONUJ NEOG,45,44,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,125675,Jiba Gogoi,Not Started,,,Tariff Collection: YES,,100,,
953,9029,8236890,SADIYA,SAIKHOWA,KAKAPATHAR,RETROFITTING,NON TEA GARDEN,UPER KULI PATHAR PWSS,ANUPAM,NOMITA CHUTIA HAZARIKA,81,81,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,6 house holds are not getting water,,Tariff Collection: YES,,100,,
2,11767,30036121,TINSUKIA,ITAKHULI,LAIPULI,NEW,TEA GARDEN SCHEME,DINJAN CHAPORI PWSS,ANINDITA,Nortech Power Projects Pvt. Ltd.,240,240,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,Estimates under Prepration to SOPD,100,,
156,16853,30032938,TINSUKIA,ITAKHULI,BORGURI,NEW,NON TEA GARDEN,AHUKHAT PWSS,ATLANTA,BALU PHUKAN,268,268,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,,100,,
158,16854,30190251,TINSUKIA,ITAKHULI,BORGURI,NEW,NON TEA GARDEN,CHANDMARI NEPALI GAON PWSS,ATLANTA,SRI DHIRU KAMAL NEOG,144,144,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,,100,,
159,16856,30190431,TINSUKIA,ITAKHULI,BORGURI,NEW,NON TEA GARDEN,CHIKAJAN PWSS,ATLANTA,Rajen Singha,108,88,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,,100,,
161,10751,30192924,TINSUKIA,ITAKHULI,BORGURI,NEW,NON TEA GARDEN,GELAPUKHURI GAON PART 2 PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,620,332,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,PWD,100,,
167,10756,30075990,TINSUKIA,ITAKHULI,BORGURI,NEW,NON TEA GARDEN,JARIGURI GAON PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,273,162,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
168,10761,30077665,TINSUKIA,ITAKHULI,BORGURI,NEW,TEA GARDEN SCHEME,KATCHUJAN TE PT I PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,321,238,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
169,10762,30077660,TINSUKIA,ITAKHULI,BORGURI,NEW,TEA GARDEN SCHEME,KATCHUJAN TE PT II PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,364,135,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
170,16859,30192755,TINSUKIA,ITAKHULI,BORGURI,NEW,NON TEA GARDEN,KOKORATOLI PART 2PWSS,ATLANTA,Kalyan Chetia,152,152,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,NO,,,,DK BORA,,,,Tariff Collection: NO,,100,,
430,17926,30011052,TINSUKIA,ITAKHULI,BAPUJI,NEW,TEA GARDEN SCHEME,BAPUJI BORBHETA TE PWSS,RANJITA,Dharmendra Baruah,274,274,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,OTHERS - PL SPECIFY IN REMARKS,,,,,,Ongoing,"The scheme was handed over to the tea garden management ,which is currently undertaking the minor repair and maintenance works.",,Tariff Collection: NO,,100,,
431,18087,30183474,TINSUKIA,ITAKHULI,RONGPURIA,NEW,NON TEA GARDEN,Bhimpara PWSS,PADMINI,Nortech Power Projects Pvt. Ltd.,384,260,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,Scheme Ongoing,,Tariff Collection: NO,Estimated Submitted to P&RD - Work Not Started,100,,
432,17969,30024068,TINSUKIA,ITAKHULI,BORDUBI KNOWARI PATHAR,NEW,NON TEA GARDEN,Bisphutia Gaon PWSS,PADMINI,ALOK KUMAR SINGH,139,220,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,PWD,YES,YES,NO,725996,,Not Started,,Transformer Damage,Tariff Collection: NO,,100,,
433,17929,30025212,TINSUKIA,ITAKHULI,BAPUJI,NEW,TEA GARDEN SCHEME,CHOTO TINGRAI TE PWSS ( BAPUJI ),RANJITA,M/s Siotia Infratech,250,232,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,27534,Subrata Neog,Completed,,,Tariff Collection: NO,,100,,
434,18088,30205573,TINSUKIA,ITAKHULI,RONGPURIA,NEW,NON TEA GARDEN,DHEKIAJURI BENGALI NO 1 PWSS,PADMINI,M/S MAA KAMAKHYA CONSTRUCTION,561,525,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
435,18090,30146047,TINSUKIA,ITAKHULI,RONGPURIA,NEW,NON TEA GARDEN,Hijuguri Town PWSS,PADMINI,M/S KAMAL KUMAR MODI,1854,146,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,PWD,100,,
